phylogroup,unique.CDSs,num.genomes,sd,min,max
6,4869.77,1,212.382676108743,4657.38732389126,5082.15267610874
6,5303.54,2,247.343315162459,5056.19668483754,5550.88331516246
6,5609.94,3,268.842630548059,5341.09736945194,5878.78263054806
6,5849.01,4,308.264824329978,5540.74517567002,6157.27482432998
6,6050.69,5,304.956055618815,5745.73394438118,6355.64605561881
6,6236.5,6,273.388630770088,5963.11136922991,6509.88863077009
6,6389.84,7,276.68721062827,6113.15278937173,6666.52721062827
6,6502.82,8,287.412292462563,6215.40770753744,6790.23229246256
6,6602.28,9,283.047737701932,6319.23226229807,6885.32773770193
6,6725.4,10,298.129014171565,6427.27098582844,7023.52901417156
6,6825.85,11,298.665867659916,6527.18413234008,7124.51586765992
6,6909.34,12,282.567743553594,6626.77225644641,7191.90774355359
6,6987.3,13,291.377553678863,6695.92244632114,7278.67755367886
6,7080,14,293.126786785707,6786.87321321429,7373.12678678571
6,7152.62,15,271.462175500147,6881.15782449985,7424.08217550015
6,7226.32,16,247.047857793594,6979.27214220641,7473.36785779359
6,7289.16,17,239.256032084645,7049.90396791535,7528.41603208464
6,7359.12,18,212.021453078825,7147.09854692117,7571.14145307883
6,7412.08,19,198.67747987656,7213.40252012344,7610.75747987656
6,7495.36,20,123.99776146562,7371.36223853438,7619.35776146562
6,7551.35,21,80.523461039487,7470.82653896051,7631.87346103949
6,7593,22,0,7593,7593
4,4828.78,1,147.207582424386,4681.57241757561,4975.98758242439
4,5225.05,2,219.7507483813,5005.2992516187,5444.8007483813
4,5573.84,3,286.64058091321,5287.19941908679,5860.48058091321
4,5861.26,4,312.125027396511,5549.13497260349,6173.38502739651
4,6109.45,5,331.93766528727,5777.51233471273,6441.38766528727
4,6356.41,6,347.821215394904,6008.5887846051,6704.2312153949
4,6556.15,7,350.103660695405,6206.04633930459,6906.2536606954
4,6798.89,8,350.201785843649,6448.68821415635,7149.09178584365
4,6998.67,9,344.790759414718,6653.87924058528,7343.46075941472
4,7203.79,10,347.27968221128,6856.51031778872,7551.06968221128
4,7395.75,11,336.645705168031,7059.10429483197,7732.39570516803
4,7553.24,12,339.947325688002,7213.292674312,7893.187325688
4,7722.61,13,321.182974220759,7401.42702577924,8043.79297422076
4,7881.31,14,340.170655181285,7541.13934481872,8221.48065518129
4,8029.93,15,309.031666351655,7720.89833364835,8338.96166635166
4,8176.53,16,310.631466824947,7865.89853317505,8487.16146682495
4,8330.77,17,286.723421266959,8044.04657873304,8617.49342126696
4,8448.06,18,282.900447207676,8165.15955279232,8730.96044720768
4,8569.75,19,276.390602502175,8293.35939749782,8846.14060250218
4,8686.14,20,278.163567170487,8407.97643282951,8964.30356717049
4,8804.11,21,276.924775367104,8527.1852246329,9081.0347753671
4,8912.28,22,282.808572155882,8629.47142784412,9195.08857215588
4,9028.15,23,281.413975768041,8746.73602423196,9309.56397576804
4,9129.7,24,273.006067938632,8856.69393206137,9402.70606793863
4,9261.02,25,269.89230848955,8991.12769151045,9530.91230848955
4,9363.03,26,257.126917331036,9105.90308266896,9620.15691733104
4,9463.41,27,237.291794756131,9226.11820524387,9700.70179475613
4,9580.2,28,210.612286805721,9369.58771319428,9790.81228680572
4,9682.65,29,204.930260372063,9477.71973962794,9887.58026037206
4,9797.51,30,177.45470299815,9620.05529700185,9974.96470299815
4,9897.19,31,127.309032664536,9769.88096733546,10024.4990326645
4,9979.76,32,96.5641169734839,9883.19588302652,10076.3241169735
4,10073,33,0,10073,10073
1,4934.38,1,231.120886642519,4703.25911335748,5165.50088664252
1,5561.12,2,255.812876686823,5305.30712331318,5816.93287668682
1,5988.14,3,313.453072543353,5674.68692745665,6301.59307254335
1,6320.62,4,340.811769488998,5979.808230511,6661.431769489
1,6593.46,5,325.23518825116,6268.22481174884,6918.69518825116
1,6806.59,6,357.791206395207,6448.79879360479,7164.38120639521
1,7043.19,7,406.785916321069,6636.40408367893,7449.97591632107
1,7241.54,8,388.527794203564,6853.01220579644,7630.06779420356
1,7423.05,9,381.531718236115,7041.51828176389,7804.58171823612
1,7598.41,10,370.84359454649,7227.56640545351,7969.25359454649
1,7753.79,11,353.529399431824,7400.26060056818,8107.31939943182
1,7909.6,12,344.176017922707,7565.42398207729,8253.77601792271
1,8031.85,13,325.937912380982,7705.91208761902,8357.78791238098
1,8146.24,14,327.513254261826,7818.72674573817,8473.75325426183
1,8268.97,15,320.190582609669,7948.77941739033,8589.16058260967
1,8389.26,16,307.638500303013,8081.62149969699,8696.89850030301
1,8505.69,17,296.659642238936,8209.03035776106,8802.34964223894
1,8613.74,18,305.771969568398,8307.9680304316,8919.5119695684
1,8741.25,19,300.322532849891,8440.92746715011,9041.57253284989
1,8833.63,20,307.337956154018,8526.29204384598,9140.96795615402
1,8929.11,21,299.813911813931,8629.29608818607,9228.92391181393
1,9029.74,22,294.61454427263,8735.12545572737,9324.35454427263
1,9108.63,23,294.152391446915,8814.47760855308,9402.78239144692
1,9197.46,24,288.485401132651,8908.97459886735,9485.94540113265
1,9274.07,25,284.977732782437,8989.09226721756,9559.04773278244
1,9349.56,26,283.93836719196,9065.62163280804,9633.49836719196
1,9418.45,27,275.398274497063,9143.05172550294,9693.84827449706
1,9502.53,28,265.226773752484,9237.30322624752,9767.75677375248
1,9575.28,29,260.946725473522,9314.33327452648,9836.22672547352
1,9653.84,30,248.552810070495,9405.28718992951,9902.39281007049
1,9719.47,31,247.451227925869,9472.01877207413,9966.92122792587
1,9776.66,32,237.51296487739,9539.14703512261,10014.1729648774
1,9830.99,33,230.082571695424,9600.90742830458,10061.0725716954
1,9887.49,34,224.358006432811,9663.13199356719,10111.8480064328
1,9953.5,35,198.910085773,9754.589914227,10152.410085773
1,10005.91,36,188.573598149879,9817.33640185012,10194.4835981499
1,10067.32,37,183.159635622077,9884.16036437792,10250.4796356221
1,10132.73,38,157.484445600385,9975.24555439961,10290.2144456004
1,10180.52,39,132.304399554263,10048.2156004457,10312.8243995543
1,10222.28,40,112.195453553073,10110.0845464469,10334.4754535531
1,10262.07,41,93.4682201703776,10168.6017798296,10355.5382201704
1,10300.06,42,65.8447546671086,10234.2152453329,10365.9047546671
1,10340,43,0,10340,10340
